n,seed,dim_restricted,mean_restricted,max_restricted,min_restricted,elapsed_time
1,46,1,0.0,0.0,0.0,0.08640149999700952
1,27,1,0.0,0.0,0.0,0.08820500000729226
1,86,1,0.0,0.0,0.0,0.09303879999788478
1,35,1,0.0,0.0,0.0,0.08150060000480153
1,90,1,0.0,0.0,0.0,0.07958170000347309
1,88,1,0.0,0.0,0.0,0.0789099000103306
1,83,1,0.0,0.0,0.0,0.08209780001197942
1,10,1,0.0,0.0,0.0,0.0930618999991566
1,78,1,0.0,0.0,0.0,0.10451749998901505
1,82,1,0.0,0.0,0.0,0.10191090000444092
1,22,1,0.0,0.0,0.0,0.08376670000143349
1,69,1,0.0,0.0,0.0,0.08338029999868013
1,94,1,0.0,0.0,0.0,0.08695250000164378
1,32,1,0.0,0.0,0.0,0.09175739999045618
1,21,1,0.0,0.0,0.0,0.09477830000105314
2,82,3,0.004783873920309882,0.005149192972870148,0.004265707861574879,0.1575386000040453
2,15,3,0.008830101649708611,0.011529437123144854,0.006474959261799395,0.15474250000261236
2,4,3,0.005759494174476849,0.0070819897641134135,0.004270000346268082,0.14226249999774154
2,95,3,0.0065605332839437,0.009895151428930467,0.001985519180326739,0.13583319999452215
2,36,3,0.005607952538231852,0.008203972909007673,0.002844433391416636,0.13458309999259654
2,32,3,0.009100112686998006,0.015534105606853501,0.005844500524564461,0.13274499999533873
2,29,3,0.0006469025129607817,0.0009517420396576406,0.00023789495022978605,0.13423889999103267
2,18,3,0.03339485675312439,0.05040673267768781,0.014789894153501938,0.13882399999420159
2,95,3,0.0065605332839437,0.009895151428930467,0.001985519180326739,0.1371901000093203
2,14,3,0.014729491141360303,0.018155213376604196,0.008453353285507736,0.13818779999564867
2,87,3,0.005862878399177853,0.0075808911509271945,0.004533814754935488,0.13747149999835528
2,95,3,0.0065605332839437,0.009895151428930467,0.001985519180326739,0.13652660000661854
2,70,3,0.006478405871038299,0.009047812079305597,0.0035465326620301475,0.1380561999976635
2,12,3,0.05728831734325567,0.07307972263725118,0.044729466602026306,0.1409698999923421
2,76,3,0.06810122838673008,0.09723527037320245,0.024988188762316878,0.1374985000002198
2,55,3,0.0048139334525013925,0.008773009722796044,0.002407801966493883,0.13627980000455864
2,5,3,0.005159297821225051,0.006446533140531794,0.004499635824110297,0.1361573999893153
2,4,3,0.005759494174476849,0.0070819897641134135,0.004270000346268082,0.13667000000714324
2,12,3,0.05728831734325567,0.07307972263725118,0.044729466602026306,0.1383118999947328
2,28,3,0.00523679803157892,0.006442016039910156,0.0030332927559397803,0.13481780000438448
2,30,3,0.015725283347315613,0.020844576222017703,0.009183448432615286,0.1367854999989504
2,65,3,0.012825966282723505,0.02900526288979291,0.004663850680980021,0.1383981999970274
2,78,3,0.0006416415852621276,0.0008220929337101779,0.0005100657945067417,0.13787540000339504
2,4,3,0.005759494174476849,0.0070819897641134135,0.004270000346268082,0.13742780000029597
2,72,3,0.012788528585209546,0.02169979628479811,0.00493164867256534,0.13617410000006203
